extrap.type,rep,mod.type,beta1.mean,beta2.mean,beta1.median,beta2.median,beta1_25,beta1_975,beta2_25,beta2_975
Low,8,PO,0.07461352132875301,-0.09097409762252161,0.0750641642377865,-0.09042007690339283,-0.18451459301731915,0.33123827799663186,-0.3005884439968652,0.11551138102647619
Low,9,Integrated,0.04571999240519991,-0.12455979056642615,0.04601173384109284,-0.1240135169856907,-0.21278964741845638,0.30261087773989637,-0.3358259263982002,0.08362122809654346
Low,9,PO,0.07395990626110475,-0.09092308724956392,0.07445455986970669,-0.09036915585310655,-0.1856054306640995,0.33077164443437973,-0.30056834418452355,0.11559663173687286
Low,10,Integrated,0.05364540907193922,-0.0975112053090425,0.05415212784340766,-0.09707329186189767,-0.20657351908518273,0.3110232078807742,-0.30765122512322585,0.11015223389363711
Low,10,PO,0.07406910903250018,-0.09088552535594004,0.07453691007218909,-0.09033077260683736,-0.18507590842574773,0.33061434634820425,-0.30043786119991717,0.11553155318442919
Moderate,1,Integrated,0.06681971912628702,-0.13674564737890463,0.06709140302585637,-0.13617549439435936,-0.1914148906666148,0.3235520214743194,-0.348596635643953,0.07188563639011988
Moderate,1,PO,0.07481291173089627,-0.09078883491845303,0.07530604137754937,-0.0902244950381274,-0.1845681026845671,0.3314481027097118,-0.300358364533099,0.1155926743468083
Moderate,2,Integrated,0.06953191097654282,-0.10224615275365591,0.07007374754693585,-0.10176576964980832,-0.19160818937182802,0.32765948744794826,-0.31351719545322143,0.10631615612944227
Moderate,2,PO,0.07494527842322575,-0.0909948465813528,0.07539392853467806,-0.09043137255638678,-0.1842199901264029,0.3316205452550366,-0.300650462793526,0.11547755840439276
Moderate,3,Integrated,0.07213164393464672,-0.08991476118844201,0.07258218168224871,-0.08943074486841503,-0.18897969946401658,0.33076155337024993,-0.29977833358185596,0.11721417172054323
Moderate,3,PO,0.07406438152847154,-0.09099025990348918,0.074531425800674,-0.09044779913598379,-0.1853285780709448,0.3308558019557776,-0.30057042895204755,0.11552543106646362
Moderate,4,Integrated,0.10200211483508774,-0.10864203707604053,0.10228881288356498,-0.10831246314864325,-0.15370119328885193,0.3561248119215481,-0.3160226971858733,0.09688044298015172
Moderate,4,PO,0.0748465931265699,-0.09086766412677086,0.07531874693869973,-0.09031198867176295,-0.18426918746428678,0.3313310787017307,-0.3003546238720297,0.11548258520098864
Moderate,5,Integrated,0.058469609663980265,-0.09186164212878159,0.058771077097695676,-0.09139943726766805,-0.20266419256279153,0.3179017826851742,-0.3056096944827832,0.1192783853193293
Moderate,5,PO,0.07538278742526441,-0.09092376955785449,0.07581353890131304,-0.0903640568814479,-0.18346134113563778,0.33183620526311486,-0.3004525660088837,0.11544129309749022
Moderate,6,Integrated,0.08522095635150871,-0.0931093896684322,0.08559340592737447,-0.0925831798157713,-0.17519662285274337,0.3435743719295087,-0.30518843800468626,0.11600007279061723
Moderate,6,PO,0.0748415494614952,-0.09089254808207341,0.07530592596652451,-0.09032368029241268,-0.1842140254669512,0.33131470084252646,-0.3004885569074002,0.11548967691402698
Moderate,7,Integrated,0.08312501364780257,-0.09979373639887354,0.0835144981431922,-0.09927927824617135,-0.1752104825083471,0.33927896304177196,-0.30999738830600443,0.1075009623884611
Moderate,7,PO,0.07326066715404395,-0.09070329857894667,0.07376601344945287,-0.09014030323683951,-0.1860626214743221,0.32977041966366616,-0.30021980359048483,0.11563419848483547
Moderate,8,Integrated,0.06952130571861977,-0.10587529430066135,0.0699470442246952,-0.10533542272166337,-0.18984547887058617,0.3265218750184891,-0.31594994373097757,0.10114821304086503
Moderate,8,PO,0.07423635605138293,-0.0908330600907389,0.07470919951780934,-0.09027136048166264,-0.18499727179462677,0.33083818905551626,-0.3003613812668824,0.11552135949169295
Moderate,9,Integrated,0.05909756698855656,-0.06924586296887142,0.05944809218435354,-0.06885604168186565,-0.20165251439942306,0.31788278110350765,-0.27970504270833213,0.13901734488616374
Moderate,9,PO,0.07502920344432316,-0.0908566644017356,0.07547832676233698,-0.09030273676012715,-0.18390579696095777,0.3314639920190333,-0.3003598808236008,0.11551713049836142
Moderate,10,Integrated,0.11167641148516878,-0.08280954057019006,0.11215199406117615,-0.08245019193306657,-0.14134430984414342,0.362067523449673,-0.2874579169179989,0.1198146313191057
Moderate,10,PO,0.0747752932699407,-0.09088347251692284,0.07525369856399393,-0.09033480093067242,-0.18450441342941631,0.3313948050823275,-0.3003769769333191,0.11550985973874159
High,1,Integrated,0.0693330719320663,-0.07480326519599172,0.06990202709024955,-0.0742846231887268,-0.1871922032593017,0.3226963469308272,-0.2809217774245817,0.12839066122713036
